Date,open,high,low,close,adj close,volume,dividends,stock splits,capital gains
2023-04-06 00:00:00-04:00,125.31999969482422,127.0199966430664,124.63999938964844,126.19999694824219,124.50292205810547,7448000,0.0,0.0,0.0
2023-04-10 00:00:00-04:00,125.05000305175781,128.17999267578125,124.84500122070312,128.11000061035156,126.38723754882812,5991200,0.0,0.0,0.0
2023-04-11 00:00:00-04:00,128.5749969482422,128.75999450683594,127.23999786376953,127.43000030517578,125.71638488769531,6288600,0.0,0.0,0.0
2023-04-12 00:00:00-04:00,128.52999877929688,128.75999450683594,125.06500244140625,125.16500091552734,123.48184967041016,7749000,0.0,0.0,0.0
2023-04-13 00:00:00-04:00,125.5,126.88999938964844,124.58999633789062,126.17500305175781,124.47826385498047,5760400,0.0,0.0,0.0
2023-04-14 00:00:00-04:00,126.1050033569336,127.4800033569336,124.66000366210938,126.04000091552734,124.34508514404297,4901000,0.0,0.0,0.0
2023-04-17 00:00:00-04:00,124.9000015258789,125.98999786376953,124.32499694824219,125.94999694824219,124.25628662109375,5297000,0.0,0.0,0.0
2023-04-18 00:00:00-04:00,127.09500122070312,127.91000366210938,125.55999755859375,126.51499938964844,124.81369018554688,5703600,0.0,0.0,0.0
2023-04-19 00:00:00-04:00,124.77999877929688,125.52999877929688,124.5,125.31500244140625,123.62983703613281,5013000,0.0,0.0,0.0
2023-04-20 00:00:00-04:00,124.5,127.2750015258789,124.40499877929688,125.45500183105469,123.76795196533203,5879800,0.0,0.0,0.0
2023-04-21 00:00:00-04:00,124.58999633789062,125.31999969482422,123.28500366210938,124.16999816894531,122.5002212524414,5202200,0.0,0.0,0.0
2023-04-24 00:00:00-04:00,123.9000015258789,124.68000030517578,122.71499633789062,123.50499725341797,121.84416961669922,4489000,0.0,0.0,0.0
2023-04-25 00:00:00-04:00,122.52999877929688,122.54499816894531,119.53500366210938,119.58999633789062,117.9818115234375,10464600,0.0,0.0,0.0
2023-04-26 00:00:00-04:00,120.80500030517578,121.61499786376953,119.84500122070312,120.42500305175781,118.80558776855469,7695400,0.0,0.0,0.0
2023-04-27 00:00:00-04:00,120.55999755859375,121.76000213623047,118.56999969482422,121.58999633789062,119.95491790771484,6814200,0.0,0.0,0.0
2023-04-28 00:00:00-04:00,122.25,123.625,121.77999877929688,123.625,121.96255493164062,7553000,0.0,0.0,0.0
2023-05-01 00:00:00-04:00,123.98500061035156,124.95999908447266,123.66500091552734,124.56999969482422,122.89484405517578,5202000,0.0,0.0,0.0
2023-05-02 00:00:00-04:00,124.52999877929688,125.18000030517578,122.5,123.48999786376953,121.8293685913086,6717600,0.0,0.0,0.0
2023-05-03 00:00:00-04:00,122.8499984741211,124.30000305175781,122.07499694824219,122.21499633789062,120.5715103149414,8223000,0.0,0.0,0.0
2023-05-04 00:00:00-04:00,121.6449966430664,122.81999969482422,120.93499755859375,121.80500030517578,120.16703796386719,5889200,0.0,0.0,0.0
2023-05-05 00:00:00-04:00,122.16000366210938,124.97000122070312,121.58999633789062,124.37999725341797,122.70740509033203,5553000,0.0,2.0,0.0
2023-05-08 00:00:00-04:00,123.9800033569336,125.1500015258789,123.37000274658203,125.06999969482422,123.38812255859375,3918900,0.0,0.0,0.0
2023-05-09 00:00:00-04:00,123.58999633789062,123.7699966430664,122.73999786376953,123.13999938964844,121.48407745361328,4951700,0.0,0.0,0.0
2023-05-10 00:00:00-04:00,124.44000244140625,125.04000091552734,122.97000122070312,124.13999938964844,122.47062683105469,5474900,0.0,0.0,0.0
2023-05-11 00:00:00-04:00,123.79000091552734,124.02999877929688,121.88999938964844,123.04000091552734,121.38542175292969,5339500,0.0,0.0,0.0
2023-05-12 00:00:00-04:00,123.47000122070312,123.88999938964844,121.80999755859375,122.9000015258789,121.24730682373047,3364900,0.0,0.0,0.0
