Date,open,high,low,close,adj close,volume,dividends,stock splits
2023-04-06 00:00:00-04:00,283.2099914550781,292.0799865722656,282.0299987792969,291.6000061035156,284.8541259765625,29770300,0.0,0.0
2023-04-10 00:00:00-04:00,289.2099914550781,289.6000061035156,284.7099914550781,289.3900146484375,282.6952209472656,23103000,0.0,0.0
2023-04-11 00:00:00-04:00,285.75,285.9800109863281,281.6400146484375,282.8299865722656,276.2869567871094,27276600,0.0,0.0
2023-04-12 00:00:00-04:00,284.7900085449219,287.010009765625,281.9599914550781,283.489990234375,276.9317321777344,27403400,0.0,0.0
2023-04-13 00:00:00-04:00,283.5899963378906,289.8999938964844,283.1700134277344,289.8399963378906,283.134765625,24222700,0.0,0.0
2023-04-14 00:00:00-04:00,287.0,288.4800109863281,283.69000244140625,286.1400146484375,279.5204772949219,20987900,0.0,0.0
2023-04-17 00:00:00-04:00,289.92999267578125,291.6000061035156,286.1600036621094,288.79998779296875,282.1188659667969,23836200,0.0,0.0
2023-04-18 00:00:00-04:00,291.57000732421875,291.760009765625,287.010009765625,288.3699951171875,281.6988220214844,20161800,0.0,0.0
2023-04-19 00:00:00-04:00,285.989990234375,289.04998779296875,284.5400085449219,288.45001220703125,281.77703857421875,17150300,0.0,0.0
2023-04-20 00:00:00-04:00,285.25,289.0299987792969,285.0799865722656,286.1099853515625,279.4910888671875,23244400,0.0,0.0
2023-04-21 00:00:00-04:00,285.010009765625,286.2699890136719,283.05999755859375,285.760009765625,279.14923095703125,21676400,0.0,0.0
2023-04-24 00:00:00-04:00,282.0899963378906,284.95001220703125,278.7200012207031,281.7699890136719,275.25146484375,26611000,0.0,0.0
2023-04-25 00:00:00-04:00,279.510009765625,281.6000061035156,275.3699951171875,275.4200134277344,269.0484313964844,45772200,0.0,0.0
2023-04-26 00:00:00-04:00,296.70001220703125,299.57000732421875,292.7300109863281,295.3699951171875,288.5368347167969,64599200,0.0,0.0
2023-04-27 00:00:00-04:00,295.9700012207031,305.20001220703125,295.25,304.8299865722656,297.7780456542969,46462600,0.0,0.0
2023-04-28 00:00:00-04:00,304.010009765625,308.92999267578125,303.30999755859375,307.260009765625,300.15185546875,36469600,0.0,0.0
2023-05-01 00:00:00-04:00,306.9700012207031,308.6000061035156,305.1499938964844,305.55999755859375,298.49114990234375,21294100,0.0,0.0
2023-05-02 00:00:00-04:00,307.760009765625,309.17999267578125,303.9100036621094,305.4100036621094,298.3446044921875,26404400,0.0,0.0
2023-05-03 00:00:00-04:00,306.6199951171875,308.6099853515625,304.0899963378906,304.3999938964844,297.3580017089844,22360800,0.0,0.0
2023-05-04 00:00:00-04:00,306.239990234375,307.760009765625,303.3999938964844,305.4100036621094,298.3446044921875,22519900,0.0,0.0
2023-05-05 00:00:00-04:00,305.7200012207031,311.9700012207031,304.2699890136719,310.6499938964844,303.4634094238281,28197100,0.0,0.0
2023-05-08 00:00:00-04:00,310.1300048828125,310.20001220703125,306.0899963378906,308.6499938964844,301.5096435546875,21318600,0.0,0.0
2023-05-09 00:00:00-04:00,308.0,310.0400085449219,306.30999755859375,307.0,299.8977966308594,21340800,0.0,0.0
2023-05-10 00:00:00-04:00,308.6199951171875,313.0,307.6700134277344,312.30999755859375,305.0849609375,30078000,0.0,0.0
2023-05-11 00:00:00-04:00,310.1000061035156,311.1199951171875,306.260009765625,310.1099853515625,302.9358215332031,31680200,0.0,0.0
2023-05-12 00:00:00-04:00,310.54998779296875,310.6499938964844,306.6000061035156,308.9700012207031,301.8222351074219,19774700,0.0,0.0
2023-05-15 00:00:00-04:00,309.1000061035156,309.8999938964844,307.5899963378906,309.4599914550781,302.3009338378906,16336500,0.0,0.0
