Date,open,high,low,close,adj close,volume,dividends,stock splits
2023-04-06 00:00:00-04:00,105.26000213623047,109.16999816894531,104.33000183105469,108.41999816894531,107.53125762939453,48711500,0.0,0.0
2023-04-10 00:00:00-04:00,106.9800033569336,107.58999633789062,105.12000274658203,106.44000244140625,105.5674819946289,27067400,0.0,0.0
2023-04-11 00:00:00-04:00,106.55000305175781,106.7300033569336,104.68000030517578,105.3499984741211,104.48641967773438,26311800,0.0,0.0
2023-04-12 00:00:00-04:00,106.58000183105469,106.75,104.33999633789062,104.63999938964844,103.78224182128906,24370300,0.0,0.0
2023-04-13 00:00:00-04:00,105.83999633789062,107.48999786376953,105.83999633789062,107.43000030517578,106.54936981201172,24843600,0.0,0.0
2023-04-14 00:00:00-04:00,106.88999938964844,108.94000244140625,106.83999633789062,108.87000274658203,107.9775619506836,26578000,0.0,0.0
2023-04-17 00:00:00-04:00,104.66000366210938,106.16000366210938,104.5199966430664,105.97000122070312,105.10133361816406,37571200,0.0,0.0
2023-04-18 00:00:00-04:00,106.48999786376953,106.54000091552734,104.06999969482422,104.5,103.64338684082031,26596400,0.0,0.0
2023-04-19 00:00:00-04:00,103.58000183105469,104.9800033569336,103.06999969482422,104.18000030517578,103.32601928710938,20905700,0.0,0.0
2023-04-20 00:00:00-04:00,103.91000366210938,106.25,103.87000274658203,105.29000091552734,104.42691040039062,27820800,0.0,0.0
2023-04-21 00:00:00-04:00,105.47000122070312,106.0,104.77999877929688,105.41000366210938,104.54592895507812,25800100,0.0,0.0
2023-04-24 00:00:00-04:00,105.48999786376953,106.62999725341797,104.69999694824219,105.97000122070312,105.10133361816406,23542800,0.0,0.0
2023-04-25 00:00:00-04:00,105.83000183105469,106.69000244140625,103.83999633789062,103.8499984741211,102.99872589111328,46664100,0.0,0.0
2023-04-26 00:00:00-04:00,104.91999816894531,106.3499984741211,102.62999725341797,103.70999908447266,102.85986328125,53347600,0.0,0.0
